name,researcher_id,opportunity_id,theme_id,eligibility_status,eligibility_reasons,scientific_fit,topic_score,method_score,domain_score,evidence_score,matched_terms,explanation,model_version,scored_at,opportunity_number,title,agency,status,close_date,award_ceiling,source_url
Xin Yuan,xin-yuan-quick-demo,PAR-24-269,xin-ehr-ai,review,"[""animal-work preference missing"", ""Requires an animal-genomics program aligned to NIDA; included as a deliberate lower-fit/eligibility-review contrast.""]",22.9,17.7,57.1,28.6,0.0,"[""machine"", ""learning"", ""artificial"", ""intelligence"", ""health"", ""clinical"", ""trajectories""]","Best theme: Interpretable AI for longitudinal electronic health records. Shared evidence terms: machine, learning, artificial, intelligence, health, clinical, trajectories.",transparent-tfidf-v1,2026-09-25T19:57:54+00:00,PAR-24-269,NIDA Animal Genomics Program (U01 Clinical Trial Not Allowed),NIH / NIDA,posted,2027-02-11,,https://grants.nih.gov/grants/guide/pa-files/PAR-24-269.html
Xin Yuan,xin-yuan-quick-demo,PAR-25-095,xin-ehr-ai,review,"[""R01 PD/PI and institutional submission eligibility must be confirmed; deadline shown is the next new-application date in the official notice.""]",21.1,23.7,0.0,57.1,0.0,"[""data"", ""cancer"", ""risk"", ""clinical"", ""ehr"", ""health""]","Best theme: Interpretable AI for longitudinal electronic health records. Shared evidence terms: data, cancer, risk, clinical, ehr, health.",transparent-tfidf-v1,2026-09-25T19:57:54+00:00,PAR-25-095,Secondary Analysis and Integration of Existing Data to Elucidate Cancer Risk and Related Outcomes (R01 Clinical Trial Not Allowed),"NIH / NCI, NHGRI, NIA, NIDCR",posted,2026-10-05,,https://grants.nih.gov/grants/guide/pa-files/PAR-25-095.html
Xin Yuan,xin-yuan-quick-demo,580bf02a-af63-40f8-9fdc-e79ab5f63ad5,xin-ehr-ai,review,"[""Verify doctorate timing, remaining K99 eligibility window, citizenship/visa rules, mentor and clinical-trial requirements in the full announcement.""]",11.7,11.4,0.0,42.9,0.0,"[""cancer"", ""clinical"", ""health""]","Best theme: Interpretable AI for longitudinal electronic health records. Shared evidence terms: cancer, clinical, health.",transparent-tfidf-v1,2026-09-25T19:57:54+00:00,PAR-25-313,NCI Pathway to Independence Award (K99/R00 Clinical Trial Required),NIH / NCI,posted,2027-10-14,,https://simpler.grants.gov/opportunity/580bf02a-af63-40f8-9fdc-e79ab5f63ad5
